Zotu	K	D	P	C	O	F	G	S	DLSm01	DLSm02	DLSm03	DLSs01	DLSs02	DLSs03	DLSse01	DLSse02	DLSse03	DLSt01	DLSt02	DLSt03	DLSw01	DLSw02	DLSw03	DPSm01	DPSm02	DPSm03	DPSs01	DPSs02	DPSs03	DPSse01	DPSse02	DPSse03	DPSt01	DPSt02	DPSt03	DPSw01	DPSw02	DPSw03	HLm01	HLm02	HLm03	HLs01	HLs02	HLs03	HLse01	HLse02	HLse03	HLt01	HLt02	HLt03	HLw01	HLw02	HLw03	SLTm01	SLTm02	SLTm03	SLTs01	SLTs02	SLTs03	SLTse01	SLTse02	SLTse03	SLTt01	SLTt02	SLTt03	SLTw01	SLTw02	SLTw03	SLm01	SLm02	SLm03	SLs01	SLs02	SLs03	SLse01	SLse02	SLse03	SLt01	SLt02	SLt03	SLw01	SLw02	SLw03	XSm01	XSm02	XSm03	XSs01	XSs02	XSs03	XSse01	XSse02	XSse03	XSt01	XSt02	XSt03	XSw01	XSw02	XSw03
Zotu1	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	Araphid-pennate			8	1	0	25	6	5	25797	29056	29758	6	11	13	391	208	79	12	39	3	0	13	4427	30	22	50	0	6	0	117	37	70	1	1	3	2491	2808	2450	8739	15671	9184	10	10	20	54	16	21	2	3374	39	27063	29381	31333	2312	1670	2497	6	6	1	1091	328	75	4	2	0	43	6	5	2975	34	3795	1	1801	4	694	50	67	0	1	2	26	21	20	679	792	851	1	31	2430	182	46	5
Zotu10	Eukaryota	Opisthokonta	Metazoa	Arthropoda	Crustacea	Maxillopoda			38	2	2	12	191	255	23	20	28	28	685	26	14994	24819	3749	332	40	153	214	94	2	1	39	5	4	33	3	9785	212	536	6	338	5	3	3	2	0	1	1	476	543	323	427	448	630	425	46	7000	3	0	1	0	3	5	3	497	3	209	717	1240	503	5	0	51	217	253	38	235	48	23	218	25	6527	2171	743	0	375	1	5	61	14	3	55	7	450	1075	1	7463	3449	16393
Zotu100	Eukaryota	Excavata	Discoba	Euglenozoa	Euglenida				0	0	0	18	0	100	0	0	0	0	0	0	27	32	733	1	2	14	40	43	18	70	45	120	0	1	0	63	2450	2644	0	0	0	0	0	0	0	0	0	0	0	0	45	3	19	2	1	0	3	0	0	6	1	11	0	0	0	354	60	86	0	0	0	25	1	0	9	9	18	0	2	0	1030	911	1149	0	0	0	1	6	4	2	1	4	0	0	0	4	109	36
Zotu1000	Eukaryota	Opisthokonta	Fungi						0	0	0	15	1	1	0	1	0	0	1	0	4	10	5	21	0	20	0	18	0	0	0	0	1	0	0	0	0	0	1	0	0	0	7	2	0	0	0	0	10	0	1	14	0	22	0	0	0	0	1	0	0	0	0	0	0	0	4	14	3	0	0	35	470	777	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Zotu10000	Eukaryota	Opisthokonta	Fungi						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu10001	Eukaryota	Stramenopiles	Ochrophyta						0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10002	Eukaryota	Excavata	Discoba	Euglenozoa	Euglenida	Euglenales			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0
Zotu10003	Eukaryota								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10004	Eukaryota	Alveolata	Apicomplexa	Apicomplexa_X	Coccidia	Eucoccidiorida	Cryptosporidium	Cryptosporidium_parvum	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	1	0
Zotu10005	Eukaryota	Rhizaria	Cercozoa	Filosa-Sarcomonadea	Glissomonadida				0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0
